codigo,clase,nitrogeno,B1_mean,B1_std,B1_count,B2_mean,B2_std,B2_count,B3_mean,B3_std,B3_count,B4_mean,B4_std,B4_count,B5_mean,B5_std,B5_count,B6_mean,B6_std,B6_count,B7_mean,B7_std,B7_count,B8_mean,B8_std,B8_count,B9_mean,B9_std,B9_count,NDVI,date
407,OJGC - pirl,100 kg N/ha,0.05333924736928872,0.0005914069949120507,699,0.05330947199263457,0.0016393321588025946,699,0.08615146140342789,0.004945344376931025,699,0.06153201647582484,0.0016916800053533776,699,0.13094350571966648,0.0036537188437557135,699,0.2234127279344376,0.014568601267496055,699,0.2579733830835345,0.018326834081469207,699,0.2644102344867668,0.020557075886187832,699,0.2550386311499687,0.019706918901619873,699,0.6224360831153071,2024-06-26
406,Magic5,100 kg N/ha,0.05318596602257787,0.0004584009277914241,618,0.05225376635307633,0.001151598740665315,618,0.08240188055439675,0.002936233992093908,618,0.06110547507079288,0.0017893309703987726,618,0.1292217217602776,0.002384467259499873,618,0.2210011898892597,0.013000924703715257,618,0.2585198115376593,0.016793521346967807,618,0.2666065500006321,0.018619687191084436,618,0.2545514153045358,0.021329987937938895,618,0.6270782248074362,2024-06-26
405,Magic3,100 kg N/ha,0.05314140004559982,0.00045502928207095435,605,0.05111721133397631,0.0019803554449677875,605,0.08179614484802751,0.0048643966531383385,605,0.060941276865557205,0.001406933475002474,605,0.12812182213649276,0.002841786823760511,605,0.2105558411148954,0.014267435188957227,605,0.24205478636686467,0.01515088459602572,605,0.25168810127195246,0.02326271319695897,605,0.24721245883910123,0.016374115811495938,605,0.6101372351593122,2024-06-26
404,Magic4,100 kg N/ha,0.05248741342240021,0.0004454067405515895,595,0.04903923162893087,0.001547917118931058,595,0.07995155398585216,0.004150597650973129,595,0.05884437240472361,0.0014829059458166113,595,0.12670936905035451,0.002610947071959701,595,0.20972441344701942,0.01159644542961622,595,0.2445988502823004,0.01377257152109372,595,0.25773564186416753,0.018389398228415264,595,0.2516204064633666,0.014446901565156793,595,0.6282496067187399,2024-06-26
403,Magic9,100 kg N/ha,0.05248272368391973,0.00041157673129495995,707,0.048779273134309804,0.0014856015087537922,707,0.07903597884333285,0.003942830533414822,707,0.05785920764971656,0.0014459271332174185,707,0.12615617161255746,0.0026629944806670553,707,0.21010074858281028,0.013435232427923324,707,0.2444913829064268,0.015611627090198452,707,0.2569013754751591,0.021880981020069794,707,0.2499988345479358,0.016523634424752198,707,0.6323605257348126,2024-06-26
402,Magic6,100 kg N/ha,0.05244426422783529,0.00050836770488097,689,0.04876510775141169,0.00145286770626761,689,0.07910938013793768,0.003844988110337109,689,0.05738249226474623,0.0016237720421172976,689,0.12641266710699384,0.002723742630504408,689,0.20535619373072386,0.015592771235117583,689,0.23536934596533698,0.017970961167775325,689,0.24401851039493377,0.024548539160480897,689,0.2336331438083953,0.019537384736106507,689,0.6192282589747165,2024-06-26
401,Magic7,100 kg N/ha,0.05246293249209065,0.0004965659128782361,726,0.04875832024356222,0.0016285243204499037,726,0.07938910975600734,0.004658612983120118,726,0.05659589951360193,0.0014303502251909895,726,0.1266128182739594,0.002905251239711034,726,0.21430389152085486,0.014931509212027464,726,0.24731222525772642,0.017716060469993127,726,0.26013778392276815,0.024855600840040796,726,0.24865464139575802,0.018927576027069612,726,0.6426278449480305,2024-06-26
307,Ricastello,100 kg N/ha,0.052685685966849756,0.0005505601315956526,554,0.0500358898286785,0.0017197148987891427,554,0.08178723331823246,0.004960076306903981,554,0.0588139558096655,0.0019390857112438033,554,0.12862401748822483,0.003370933139749955,554,0.21235948693451037,0.01579941689075,554,0.24059056030714124,0.018301992036520776,554,0.25326494017232626,0.02429118284877481,554,0.24173326182451488,0.019807957407341415,554,0.6230827744721366,2024-06-26
306,Magic1,100 kg N/ha,0.053272044858452994,0.00047757056499610033,537,0.05148007128269757,0.0013351182859152198,537,0.08165020649659567,0.0035775659514009307,537,0.06045979760878579,0.001137914711043518,537,0.12828379369980797,0.002481353414793145,537,0.21357360498865224,0.015339999603512698,537,0.24564507908883262,0.018055214799354777,537,0.25849996953925164,0.024301308636279835,537,0.24765395407792132,0.020160851760775422,537,0.6208938942401169,2024-06-26
305,Jsendra,100 kg N/ha,0.052488431606840524,0.00038781923679096435,766,0.04939701289483212,0.0010255361203963603,766,0.07818525827273376,0.002896310483847511,766,0.06010968380123766,0.0009937883544406027,766,0.12657924482778843,0.002104350424046115,766,0.21079941393501142,0.012500485571307816,766,0.2411929496585856,0.01494645936355848,766,0.24711796135566252,0.017481210958059736,766,0.238987018794366,0.013273404192751224,766,0.6086961264795047,2024-06-26
304,Magic9,100 kg N/ha,0.052890079553399,0.00041997017838715767,623,0.051081392585178825,0.0012231250644854422,623,0.08032347800069597,0.002971708367997442,623,0.06107864257420621,0.0013030451014178655,623,0.1267976959865319,0.002116060535302788,623,0.20873724629752707,0.011213192481490797,623,0.2447690519819673,0.01597449574732046,623,0.2480631869639095,0.017573921306839196,623,0.2368564268941864,0.013963433537245029,623,0.6048503519212336,2024-06-26
303,Magic7,100 kg N/ha,0.05301693383936803,0.0004448321655049653,661,0.051564382532901736,0.0013758585702092615,661,0.0811381376096232,0.0032232945547870334,661,0.06116130673037715,0.001315565672517112,661,0.1272807041924227,0.0023065834103631238,661,0.20712545744049027,0.011528669975188628,661,0.24059892386062784,0.01530758689010482,661,0.2412606612997589,0.016480676990954304,661,0.23149175831481655,0.014160830925419634,661,0.595523386553172,2024-06-26
302,Magic8,100 kg N/ha,0.05256979282085712,0.0003950727693630023,624,0.05052380684094551,0.0013441639838838858,624,0.08044165831345779,0.003462092260767607,624,0.06106479351337139,0.0017295112629550514,624,0.12765945532383063,0.0025567716804040896,624,0.20126875852927184,0.012579441813545832,624,0.22862101823855668,0.015365371948664467,624,0.22706452394143128,0.01726332187752913,624,0.2162762910891802,0.0161919466912863,624,0.5761292599254477,2024-06-26
301,OJGC - pirl,100 kg N/ha,0.05363944286351816,0.0006085762308581984,709,0.053255643427624184,0.0017683179026122657,709,0.08419420487117364,0.004892363944451035,709,0.06341093248977984,0.0025907396482289513,709,0.12985341404321668,0.00332049480825684,709,0.21173715524175776,0.018633354548404764,709,0.2432089564830527,0.024091199478338845,709,0.24345994096548837,0.02713420507586962,709,0.23009483434249384,0.021718280820432864,709,0.5867256362534968,2024-06-26
207,Magic8,100 kg N/ha,0.05329406359964166,0.00043221069989168946,847,0.05235515716084342,0.0012383989797390264,847,0.08269552976209692,0.003706927035776198,847,0.06278406208493212,0.0015172714120167718,847,0.13040704288054808,0.002788531874275518,847,0.2151706159607438,0.013578853036790453,847,0.24448846053626772,0.015019263327549125,847,0.24559235375774793,0.017201933881779336,847,0.23697320967384888,0.013811452811438906,847,0.5928089253299983,2024-06-26
206,Magic7,100 kg N/ha,0.05435073584841009,0.0005217267297860243,627,0.054648343075595594,0.001374462126744164,627,0.08447866728811552,0.0036732316772560194,627,0.06478453519051536,0.0014304002446246479,627,0.13031147009257874,0.00277120101155204,627,0.21394374914336622,0.015427630085911158,627,0.24470921566611842,0.01858783426234258,627,0.2457763574530253,0.02248143780860386,627,0.234564651902973,0.017577228847764297,627,0.582790127636099,2024-06-26
205,OJGC - pirl,100 kg N/ha,0.05474635277375806,0.0006102855937995291,853,0.056178317679330306,0.0015966482084859121,853,0.08917179085305539,0.004994006341948115,853,0.0661735042737489,0.001370004781589366,853,0.13318314725600822,0.003517905753641273,853,0.2230912238743772,0.01692110774633303,853,0.2547948016650791,0.01969818767876001,853,0.2584164475220728,0.024195797496430815,853,0.24136298873919257,0.02126702402655168,853,0.5922640001168347,2024-06-26
204,Magic5,100 kg N/ha,0.054800866276113684,0.0004736556165322992,678,0.055892539235342924,0.0012745694054557587,678,0.08655069851945635,0.00336316748217388,678,0.06616595220425137,0.0012827504817257112,678,0.13192611739347115,0.0023225912274301604,678,0.22204832904106747,0.012733347606177586,678,0.2540935190026387,0.01455323232254901,678,0.25968649535052546,0.01791776991736443,678,0.2481656594965662,0.01434442237426112,678,0.5938901014814157,2024-06-26
203,Jsendra,100 kg N/ha,0.054582029133173775,0.00039858258159495554,865,0.05596129577283914,0.0011186031132600042,865,0.08619319496816294,0.003239343465790496,865,0.06631338306934158,0.002091464534069446,865,0.1314145126783779,0.002649441001748383,865,0.21578993604362356,0.016783152240001365,865,0.24794290355175216,0.020871255174802872,865,0.2537859437093569,0.02458477908237709,865,0.23855022805274567,0.02188514992319931,865,0.5856699622790053,2024-06-26
202,Magic1,100 kg N/ha,0.05504449995437471,0.0005383008302965834,808,0.05730607249949238,0.001256329167615778,808,0.08840167168343421,0.0035975421156358963,808,0.06757829685022335,0.002068833978802009,808,0.13298841042093712,0.002504114410677701,808,0.21793214401396194,0.01572521852634329,808,0.2491668474556196,0.02112945082560443,808,0.25502795984249305,0.022838927361859787,808,0.24168524411645267,0.02207235695261375,808,0.5810478225498775,2024-06-26
201,Gavina,100 kg N/ha,0.05427880436404096,0.0002669609203899451,671,0.05537878454353344,0.0010401093940359562,671,0.0869980370056789,0.002663035675111524,671,0.06658241397044698,0.0018944548873130642,671,0.13100484515444533,0.0017233272813609605,671,0.21071864666775336,0.012509780953018655,671,0.2419579132125559,0.016212406573815435,671,0.25000909614847244,0.019802508104143562,671,0.23349976859398286,0.018679462675804972,671,0.5793796621682179,2024-06-26
107,Magic4,100 kg N/ha,0.05384866797405741,0.0003575211556668808,575,0.05426305356233016,0.0012424290769567621,575,0.08567423281462296,0.003238866763055495,575,0.06589149806810463,0.00195577593259712,575,0.13025600267493206,0.0022858890098472868,575,0.2078942340353261,0.013980128863470219,575,0.23902731190557064,0.01849142153069224,575,0.24707699983016304,0.022521627925205585,575,0.2308369777513587,0.020805299661403046,575,0.5789256841465044,2024-06-26
106,Magic3,100 kg N/ha,0.053917167112999355,0.0004209968336658477,679,0.05454427750015821,0.0013683292913731395,679,0.08631430669455886,0.0038075423443564888,679,0.06579413996880465,0.0015005919753846885,679,0.13148945736779732,0.0022505909691864817,679,0.20630152481820693,0.015610680045706912,679,0.23388856149035805,0.018986553181087128,679,0.24015360903845268,0.02306347938276787,679,0.22904871630212167,0.01972042224062456,679,0.569899499621787,2024-06-26
105,Magic2,100 kg N/ha,0.05295343729975848,0.00045925627283758175,634,0.05123503651904759,0.0017297853408162563,634,0.08355665959018262,0.004722172647168057,634,0.06083978839477154,0.0015830278282542697,634,0.12857806569770308,0.003041876735227019,634,0.21832588268003253,0.015285058225898228,634,0.2557434178301213,0.01812181326126643,634,0.27514797655941936,0.028236348942063512,634,0.2641038864568957,0.019347574902330196,634,0.6378452149704527,2024-06-26
104,Magic1,100 kg N/ha,0.053729021324301664,0.00043520039952151375,636,0.052911518504784545,0.001525117990081736,636,0.0842279278257358,0.003551618529182625,636,0.06291455442800462,0.001590138241019793,636,0.12939435131144975,0.002583822545333353,636,0.2114435831705729,0.014681366286135904,636,0.24545088953941874,0.016539213003324008,636,0.2612986534646472,0.02327225019840749,636,0.252330852004717,0.018455748715250915,636,0.6118939457344016,2024-06-26
103,Gavina,100 kg N/ha,0.053139339939034365,0.00038668066356292046,597,0.051535630345943585,0.0014349383226594965,597,0.08304986362680918,0.003405555421378682,597,0.06133599976199356,0.0012959691144316472,597,0.12835914445682187,0.002234121659071537,597,0.2121879667093606,0.011606440417651846,597,0.24539777541679753,0.013172134612476344,597,0.26178584266547583,0.018903010010595012,597,0.25113922068022404,0.014849537016314179,597,0.6203537383842348,2024-06-26
