Parcela,Codigo,Codi,Bloque,Varietat,Dosi N,date,Fecha,B01,stdv_B1,B02,stdv_B2,B03,stdv_B3,B04,stdv_B4,B05,stdv_B5,B06,stdv_B6,B07,stdv_B7,B08,stdv_B8,B09,stdv_B9,NDVI,stdv_NDVI
194,7,7,1,-,100,20230630,30/6/2023,"0,066","0,001","0,056","0,003","0,100","0,007","0,075","0,005","0,157","0,007","0,246","0,010","0,268","0,012","0,262","0,009","0,270","0,009","0,557","0,025"
1138,142,142,2,A-301,100,20230630,30/6/2023,"0,065","0,000","0,054","0,003","0,092","0,005","0,073","0,004","0,148","0,005","0,235","0,007","0,259","0,009","0,254","0,007","0,263","0,007","0,553","0,022"
1165,144,144,2,Adret,100,20230630,30/6/2023,"0,064","0,000","0,048","0,003","0,087","0,006","0,064","0,005","0,144","0,005","0,238","0,007","0,262","0,008","0,257","0,007","0,266","0,006","0,601","0,025"
1139,1,1,2,Adriano,100,20230630,30/6/2023,"0,065","0,000","0,053","0,003","0,090","0,006","0,073","0,004","0,146","0,005","0,233","0,007","0,256","0,008","0,251","0,007","0,261","0,006","0,551","0,023"
1116,3,3,2,Akihikari,100,20230630,30/6/2023,"0,065","0,000","0,052","0,002","0,092","0,005","0,071","0,003","0,149","0,005","0,237","0,007","0,260","0,008","0,254","0,007","0,264","0,006","0,561","0,018"
1171,90,90,2,Albada,100,20230630,30/6/2023,"0,065","0,001","0,050","0,003","0,090","0,006","0,065","0,004","0,148","0,006","0,242","0,008","0,268","0,009","0,263","0,008","0,271","0,007","0,602","0,020"
130,4,4,1,Albufera,100,20230630,30/6/2023,"0,064","0,000","0,049","0,003","0,086","0,006","0,068","0,004","0,142","0,006","0,234","0,009","0,258","0,010","0,256","0,008","0,264","0,008","0,579","0,023"
166,121,121,1,Amaroo,100,20230630,30/6/2023,"0,065","0,000","0,052","0,003","0,088","0,004","0,073","0,005","0,144","0,004","0,230","0,007","0,253","0,008","0,248","0,006","0,258","0,006","0,546","0,025"
1148,114,114,2,Antares,100,20230630,30/6/2023,"0,065","0,001","0,053","0,004","0,094","0,008","0,069","0,005","0,151","0,007","0,249","0,009","0,275","0,011","0,269","0,009","0,276","0,008","0,592","0,027"
124,5,5,1,Apolo,100,20230630,30/6/2023,"0,067","0,001","0,066","0,007","0,105","0,007","0,096","0,012","0,158","0,006","0,223","0,009","0,244","0,010","0,241","0,009","0,251","0,008","0,430","0,053"
151,2,2,1,Argami,100,20230630,30/6/2023,"0,065","0,001","0,050","0,003","0,087","0,005","0,068","0,004","0,144","0,005","0,238","0,006","0,263","0,008","0,259","0,007","0,267","0,006","0,582","0,022"
101,169,10000,1,Argila,100,20230630,30/6/2023,"0,068","0,001","0,071","0,004","0,109","0,006","0,105","0,006","0,162","0,006","0,221","0,005","0,243","0,006","0,242","0,005","0,252","0,004","0,394","0,026"
107,169,10000,1,Argila,100,20230630,30/6/2023,"0,066","0,001","0,061","0,007","0,098","0,010","0,086","0,012","0,154","0,009","0,231","0,007","0,256","0,009","0,252","0,007","0,261","0,007","0,491","0,053"
113,169,10000,1,Argila,100,20230630,30/6/2023,"0,066","0,001","0,060","0,005","0,095","0,007","0,087","0,009","0,150","0,006","0,224","0,009","0,246","0,011","0,244","0,009","0,254","0,008","0,473","0,043"
123,169,10000,1,Argila,100,20230630,30/6/2023,"0,066","0,001","0,061","0,004","0,097","0,006","0,090","0,006","0,151","0,005","0,220","0,006","0,242","0,007","0,240","0,005","0,250","0,005","0,455","0,028"
1176,169,10000,2,Argila,100,20230630,30/6/2023,"0,068","0,001","0,071","0,006","0,107","0,007","0,106","0,010","0,158","0,006","0,212","0,005","0,232","0,006","0,230","0,005","0,241","0,005","0,369","0,042"
135,169,10000,1,Argila,100,20230630,30/6/2023,"0,065","0,001","0,054","0,005","0,089","0,006","0,077","0,008","0,145","0,006","0,225","0,010","0,248","0,011","0,246","0,010","0,255","0,009","0,523","0,040"
139,169,10000,1,Argila,100,20230630,30/6/2023,"0,065","0,001","0,055","0,006","0,089","0,007","0,078","0,010","0,144","0,006","0,227","0,008","0,251","0,010","0,248","0,009","0,257","0,008","0,524","0,047"
1161,169,10000,2,Argila,100,20230630,30/6/2023,"0,065","0,001","0,053","0,005","0,088","0,007","0,074","0,007","0,145","0,007","0,222","0,009","0,244","0,010","0,241","0,008","0,251","0,007","0,532","0,038"
1155,169,10000,2,Argila,100,20230630,30/6/2023,"0,067","0,001","0,065","0,009","0,102","0,010","0,095","0,016","0,154","0,008","0,220","0,010","0,241","0,012","0,238","0,011","0,249","0,010","0,431","0,071"
