Parcela,Codi,Bloque,Dosi N,date,Fecha,B01,stdv_B1,B02,stdv_B2,B03,stdv_B3,B04,stdv_B4,B05,stdv_B5,B06,stdv_B6,B07,stdv_B7,B08,stdv_B8,B09,stdv_B9,NDVI,stdv_NDVI
174,1,2,100,20230711,11/7/2023,"0,022","0,000","0,039","0,002","0,076","0,006","0,050","0,002","0,096","0,004","0,216","0,020","0,273","0,015","0,303","0,071","0,265","0,010","0,714","0,058"
174,1,2,100,20230718,18/7/2023,"0,024","0,005","0,041","0,004","0,079","0,007","0,044","0,003","0,106","0,007","0,260","0,012","0,359","0,015","0,389","0,025","0,354","0,012","0,798","0,018"
174,1,2,100,20230808,8/8/2023,"0,029","0,003","0,028","0,005","0,069","0,010","0,034","0,004","0,100","0,001","0,319","0,036","0,392","0,031","0,404","0,040","0,400","0,031","0,846","0,023"
174,1,2,100,20230825,25/8/2023,"0,037","0,004","0,048","0,014","0,093","0,021","0,063","0,016","0,122","0,010","0,272","0,039","0,333","0,048","0,338","0,060","0,335","0,039","0,684","0,082"
174,1,2,100,20230907,7/9/2023,"0,048","0,002","0,072","0,025","0,116","0,034","0,112","0,040","0,185","0,041","0,288","0,035","0,334","0,034","0,338","0,038","0,400","0,059","0,502","0,140"
174,1,2,100,20230918,18/9/2023,"0,025","0,002","0,062","0,011","0,103","0,012","0,123","0,023","0,177","0,015","0,251","0,026","0,292","0,032","0,311","0,055","0,321","0,021","0,432","0,104"
174,1,2,200,20230711,11/7/2023,"0,022","0,000","0,040","0,002","0,078","0,005","0,051","0,002","0,099","0,004","0,224","0,013","0,278","0,009","0,329","0,038","0,271","0,005","0,732","0,029"
174,1,2,200,20230718,18/7/2023,"0,022","0,004","0,041","0,004","0,076","0,006","0,045","0,003","0,106","0,007","0,244","0,017","0,340","0,019","0,345","0,033","0,335","0,017","0,770","0,025"
174,1,2,200,20230808,8/8/2023,"0,030","0,003","0,030","0,005","0,075","0,011","0,036","0,005","0,101","0,001","0,336","0,026","0,402","0,022","0,422","0,027","0,421","0,022","0,843","0,023"
174,1,2,200,20230825,25/8/2023,"0,036","0,004","0,047","0,014","0,101","0,024","0,064","0,017","0,127","0,011","0,305","0,037","0,389","0,048","0,415","0,055","0,383","0,037","0,732","0,067"
