Parcela,Codi,Bloque,Dosi N,date,Fecha,B01,stdv_B1,B02,stdv_B2,B03,stdv_B3,B04,stdv_B4,B05,stdv_B5,B06,stdv_B6,B07,stdv_B7,B08,stdv_B8,B09,stdv_B9,NDVI,stdv_NDVI
1111,1,2,100,20230711,11/7/2023,"0,023","0,000","0,041","0,002","0,077","0,005","0,054","0,004","0,098","0,003","0,192","0,009","0,253","0,007","0,214","0,027","0,253","0,004","0,595","0,045"
1111,1,2,200,20230711,11/7/2023,"0,022","0,000","0,039","0,002","0,076","0,005","0,049","0,003","0,097","0,003","0,208","0,013","0,265","0,009","0,266","0,039","0,262","0,006","0,689","0,041"
1111,1,2,100,20230718,18/7/2023,"0,022","0,004","0,040","0,004","0,075","0,005","0,045","0,003","0,102","0,006","0,232","0,011","0,318","0,013","0,305","0,022","0,316","0,011","0,744","0,021"
1111,1,2,200,20230718,18/7/2023,"0,020","0,005","0,039","0,004","0,074","0,006","0,044","0,003","0,101","0,007","0,232","0,016","0,320","0,018","0,304","0,030","0,317","0,015","0,748","0,027"
1111,1,2,100,20230808,8/8/2023,"0,030","0,002","0,029","0,004","0,072","0,008","0,034","0,004","0,100","0,001","0,341","0,025","0,407","0,019","0,425","0,023","0,419","0,019","0,853","0,016"
1111,1,2,200,20230808,8/8/2023,"0,031","0,003","0,030","0,004","0,077","0,010","0,035","0,004","0,101","0,001","0,355","0,029","0,418","0,025","0,443","0,031","0,437","0,026","0,855","0,017"
1111,1,2,100,20230825,25/8/2023,"0,035","0,003","0,038","0,009","0,082","0,015","0,045","0,008","0,115","0,006","0,256","0,025","0,310","0,031","0,306","0,037","0,316","0,024","0,743","0,047"
1111,1,2,200,20230825,25/8/2023,"0,036","0,003","0,043","0,009","0,096","0,017","0,051","0,008","0,122","0,007","0,294","0,028","0,370","0,036","0,384","0,041","0,362","0,024","0,766","0,040"
1111,1,2,100,20230907,7/9/2023,"0,047","0,001","0,062","0,010","0,105","0,016","0,090","0,014","0,167","0,019","0,287","0,019","0,338","0,018","0,346","0,020","0,408","0,030","0,586","0,054"
1111,1,2,200,20230907,7/9/2023,"0,046","0,001","0,054","0,011","0,096","0,015","0,082","0,016","0,159","0,018","0,268","0,013","0,314","0,013","0,312","0,014","0,356","0,020","0,582","0,067"
1111,1,2,100,20230918,18/9/2023,"0,026","0,001","0,058","0,006","0,097","0,007","0,111","0,013","0,168","0,008","0,240","0,014","0,278","0,019","0,288","0,032","0,312","0,012","0,446","0,063"
1111,1,2,200,20230918,18/9/2023,"0,026","0,001","0,060","0,008","0,099","0,010","0,120","0,016","0,173","0,012","0,241","0,021","0,275","0,026","0,288","0,042","0,309","0,017","0,412","0,082"
183,2,2,100,20230711,11/7/2023,"0,022","0,000","0,037","0,001","0,067","0,004","0,048","0,002","0,090","0,003","0,191","0,011","0,255","0,009","0,225","0,039","0,254","0,006","0,648","0,051"
