Variedad,N,codi,B1_mean,B1_std,B1_count,B2_mean,B2_std,B2_count,B3_mean,B3_std,B3_count,B4_mean,B4_std,B4_count,B5_mean,B5_std,B5_count,B6_mean,B6_std,B6_count,B7_mean,B7_std,B7_count,B8_mean,B8_std,B8_count,B9_mean,B9_std,B9_count,NDVI,date
RICASTELLO,200.0,101,0.05486209575946514,0.0015486134831073578,936,0.06438890277829945,0.002930604489083588,936,0.09662210839426416,0.0052761762027620715,936,0.08163954253889556,0.005384704941313823,936,0.1387723612989116,0.0075076675047049905,936,0.24666300390520665,0.0164589379992051,936,0.28006910666441304,0.021992355747609077,936,0.2733358562502087,0.02407056767441877,936,0.28256290794437766,0.019673703405321912,936,0.5400270395222587,2024-06-26
GAVINA,200.0,201,0.05495462814966837,0.0015406939375678975,960,0.06405405600865682,0.0023861485282977717,960,0.09462676048278809,0.003359418985223143,960,0.08012350400288899,0.004424366235394961,960,0.13502354621887208,0.004235570138741136,960,0.24704440434773764,0.014170753813386994,960,0.28187344868977865,0.01846564685476917,960,0.2766588528951009,0.020924080066055135,960,0.28427925109863283,0.016497810996143152,960,0.5508550103232955,2024-06-26
OJGC,200.0,301,0.05458519837566625,0.001346251965205302,856,0.06437921969690055,0.002324096417179173,856,0.09579139780775409,0.0035882013660646743,856,0.08175177886107257,0.00406008218680373,856,0.1353699158285266,0.0045962946450914,856,0.2393245518764603,0.013865449064199203,856,0.2714687775228625,0.017068240451308142,856,0.2643817652051694,0.019758427986304863,856,0.274420871912876,0.015333550188342085,856,0.5276286840004898,2024-06-26
M76,200.0,401,0.05522283597368106,0.0015490078868628683,749,0.06465508495376648,0.0027744636096156553,749,0.09375770069728388,0.00409565002686137,749,0.08142060813343573,0.004686210695754358,749,0.1324712042814899,0.005153659037634681,749,0.2386422456504506,0.012065540115300187,749,0.27495641160870743,0.016787092713698985,749,0.2712056423538677,0.019842864804114003,749,0.27738516671316965,0.014645745657554795,749,0.5382044982702311,2024-06-26
COPS7,200.0,102,0.05421668604800576,0.0010774092064861293,874,0.06215550315734723,0.001696832935312084,874,0.0911636701710437,0.003000581455147957,874,0.07790603463109626,0.003070661311525422,874,0.1313019497170874,0.004582775631286595,874,0.24950229112289043,0.013768407003315558,874,0.2890355614284629,0.017938846976661555,874,0.2849479168994476,0.019880077293545184,874,0.2907127188326838,0.015460518513369917,874,0.5705928828803818,2024-06-26
M2,200.0,202,0.05571645035027222,0.001620291165988055,772,0.06494262675547229,0.0023463612662473735,772,0.09670317852435334,0.0031943935731116257,772,0.08000512197227676,0.003952394555350624,772,0.13739171794041452,0.004418034879963063,772,0.2598664871769248,0.01430771991483419,772,0.2995564752292139,0.019003950562300736,772,0.297076170926267,0.0212019841279944,772,0.29985062198935397,0.016574704727802366,772,0.5756611453339708,2024-06-26
M97,200.0,302,0.053614359223440794,0.001368422167608394,712,0.06276238366459193,0.0022116756392074966,712,0.09527542885769619,0.0030501151620876744,712,0.08031038220009107,0.004049232114980317,712,0.13660340898492362,0.004051629534758393,712,0.24192805772417048,0.013588053644290606,712,0.2721779212523042,0.01684341034805606,712,0.2648302785466226,0.01947893076276718,712,0.27467423342586905,0.014857866243886629,712,0.5346223071698413,2024-06-26
M75,200.0,402,0.055916724266943996,0.0017900843036552953,847,0.06635516818608415,0.0028239996244467376,847,0.09565484453401712,0.004091420990590591,847,0.08490345131830172,0.005067879932187979,847,0.1337860179482272,0.0050058415760166185,847,0.22979984936494613,0.013086471084270218,847,0.2615132697779848,0.017204818250214183,847,0.2540453986265865,0.02022937691893931,847,0.26480408795749705,0.014772252736162233,847,0.4990190919243024,2024-06-26
GAVINA,200.0,103,0.053987956677093295,0.0012003460912880775,719,0.06199774390633149,0.0020232878281134874,719,0.09150362611645949,0.0025788580937315384,719,0.07724653729477247,0.003168953960173388,719,0.13139629761930632,0.0031974726517750842,719,0.250446218774448,0.011541814934923034,719,0.2889619914812239,0.015663789500219984,719,0.28429789536519906,0.018766217359438606,719,0.2905603655521992,0.01377853626860548,719,0.5726857873238392,2024-06-26
JSENDRA,200.0,203,0.055615314217500905,0.002177321649559246,688,0.06491270730661791,0.0031679289628386894,688,0.09330050889835802,0.0038437257679388532,688,0.08293132449305335,0.005080868794641203,688,0.13267435029495595,0.0049214385467426,688,0.23416195359340933,0.011201301544242148,688,0.26731023123097974,0.013880293100637747,688,0.25919754560603653,0.016667841064635938,688,0.27023084773573763,0.01221668637206642,688,0.5152041716383995,2024-06-26
